customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
d95ad37b,33db25dc,90160,belo horizonte,PE
f77103c2,56928623,44516,rio de janeiro,ES
2501b210,59caac2a,30061,rio de janeiro,SC
48eb3e3d,c8f27547,25170,porto alegre,BA
cffcc562,70afcbae,9024,rio de janeiro,PE
93f516fe,9f4a478b,83214,rio de janeiro,RS
58d96af1,e7580149,86947,rio de janeiro,BA
db382de2,985ca0b8,44803,curitiba,BA
275d5fc9,d122339d,20296,rio de janeiro,SP
0d229205,404439f3,92829,sao paulo,RS
ba1bef84,59c9d589,93708,sao paulo,BA
cc536d7e,161f9dfa,87664,porto alegre,ES
20ab311f,6a0b1376,19257,curitiba,SC
4cafc933,9f2fa008,13855,sao paulo,SC
4a562d12,ba8d2a2c,86178,curitiba,ES
3818592e,cad5a58f,21025,curitiba,SP
f44bae57,e42afdea,5458,porto alegre,PR
1c4183e4,6a1966d4,64610,curitiba,SP
da11df8a,d7f24dd7,71843,rio de janeiro,SC
8f49eefe,8f701ea3,84961,curitiba,PR
3a8bc1ff,6738ab7c,50831,porto alegre,SP
2d7265b8,cef940da,44427,porto alegre,BA
52ffd30f,d86991f5,94809,porto alegre,PR
b1ad3d77,59f7408b,39506,sao paulo,SC
000ec338,d8a234e8,6668,rio de janeiro,ES
4c35986c,14d36636,92470,sao paulo,GO
0bbc5a15,09e4661a,48195,belo horizonte,BA
81c1d87d,0efb81c9,74233,rio de janeiro,BA
9d1914bf,18a1a816,25417,curitiba,GO
26940f57,b2fd6f20,82982,porto alegre,PE
a2ec9595,24280074,11751,belo horizonte,MG
89d5fe20,196693c2,47218,rio de janeiro,RJ
4a8956c2,af0aa0e3,8352,sao paulo,RS
c46bd966,b57eaf22,80052,porto alegre,SP
c89974e1,4a01dae6,89835,sao paulo,MG
d8608f2b,aa12b28e,98493,rio de janeiro,SP
25696093,c99258fd,29927,rio de janeiro,MG
d7d9f98a,936afe01,42094,belo horizonte,PR
d1e37d3e,429fae55,55122,curitiba,ES
d65a87a8,6f129827,30493,sao paulo,RS
148e9e28,72739b52,93247,belo horizonte,RS
6ab9df27,c06e5fc9,74539,porto alegre,SP
92da57bc,8fa1ce20,32707,curitiba,GO
7fbaf63f,c8626829,69814,belo horizonte,PR
fd4c0587,1dea7a34,8296,sao paulo,PE
5251fb92,a11a8a87,26398,rio de janeiro,RS
a3a42bca,e8f922cd,36842,porto alegre,RJ
d4ab9741,f526f546,14261,sao paulo,SP
c4ff4d29,f560dbb9,77709,curitiba,BA
bd2f9004,56a23082,96985,curitiba,RJ
7a05ea2c,f35583db,57704,rio de janeiro,SC
31705837,0a941400,68173,rio de janeiro,SP
b722d273,52068828,32781,porto alegre,SP
a472b499,28f125d7,14652,porto alegre,BA
93b34d6b,7e531d71,6103,rio de janeiro,PR
89ec4fb2,73ee8c3a,26500,rio de janeiro,BA
61dc806e,32611aeb,36529,curitiba,RS
847ac455,497c2208,19452,rio de janeiro,ES
0bdaff09,b64a2221,50393,belo horizonte,SP
1cf8d4f0,c1273407,32174,sao paulo,SC
9a4537b6,dd3a479d,65450,rio de janeiro,GO
43635664,2fd063dc,36436,porto alegre,SP
58dba187,1fca6d9a,48406,belo horizonte,BA
9f5a5def,5dd7fe8a,64059,porto alegre,MG
55cd969f,7a42433a,16954,belo horizonte,SP
ee39006c,eb7f5369,83722,rio de janeiro,SP
d4713c5d,6975e0b3,13356,sao paulo,SC
a803d5f9,fcffa504,99499,porto alegre,SC
d44df591,8ce8e6d3,3187,belo horizonte,SP
db5ad51c,1d62f5b8,78243,curitiba,MG
666de2fe,416f6c22,36098,rio de janeiro,ES
a74de7aa,0256c3e1,93471,sao paulo,PE
fb23ca6e,0de2ed4b,22225,rio de janeiro,MG
8a12193a,1ab18a5d,4606,curitiba,MG
233953b6,44cd61a4,58620,sao paulo,MG
fdb7184e,ba428aeb,33828,curitiba,ES
96e59536,76a8fa30,27489,rio de janeiro,PR
cce33c5e,61a0cd6a,15387,belo horizonte,PR
11414498,c5d79cd0,70463,rio de janeiro,MG
740a7994,1f0e4fb8,72832,rio de janeiro,PE
346b8d25,219b84ef,96980,rio de janeiro,BA
666cd174,23e1b03a,3591,porto alegre,RJ
15cd343e,1e14d0bd,49516,curitiba,PR
3ea46484,2cd406de,92683,curitiba,GO
90725a6b,dcc877fd,63061,curitiba,SC
34a4c221,a7b7383a,67736,porto alegre,ES
85116bde,db05f2de,82257,belo horizonte,ES
5418ba86,7cf15d1d,62753,rio de janeiro,RJ
8a3f21ea,4ad58a99,85774,belo horizonte,PR
93f85868,617abcad,12087,porto alegre,PE
dca4f051,bfcd2118,31816,curitiba,PE
0f248848,9b11bdfa,24408,rio de janeiro,SC
0d4dfb64,d3c4ff2b,1136,sao paulo,MG
5274059c,2cc16668,18413,sao paulo,BA
13eb277a,7f6a5ee2,60500,belo horizonte,PR
e351b078,f83308a6,85514,curitiba,PE
bb2f8dfc,2760bb05,57358,sao paulo,RJ
171812f8,1757a36c,67197,belo horizonte,SC
d1d9067a,3983db49,93789,porto alegre,SP
7204e5ba,33acd22b,93420,belo horizonte,SC
a95015a1,0e5fe11c,33854,belo horizonte,PE
c92239e6,b0fedcfa,77240,belo horizonte,SP
9329d518,f60ad850,91063,rio de janeiro,GO
d0d1d272,18e1f74c,17322,belo horizonte,RS
fb26c525,63c0bfb1,7968,belo horizonte,SC
022c5122,6ae17c13,28518,rio de janeiro,RJ
1d3d8f14,2c4a057f,52925,rio de janeiro,RJ
5ad63e3b,b37205be,60848,porto alegre,BA
309525e6,35596215,94422,curitiba,MG
6816880f,7b89ddec,2700,sao paulo,SC
ec209f46,7c72509b,94782,sao paulo,PE
a376f9de,1c1f906b,24199,belo horizonte,RS
ec5b442e,6cb0b538,45589,porto alegre,PR
3b66ee5a,ced28560,33115,belo horizonte,PE
b4abe212,28552076,62934,sao paulo,RJ
1122101f,7dedce20,55316,rio de janeiro,GO
9c3831b8,24e00d26,6520,curitiba,PE
