order_id,payment_sequential,payment_type,payment_installments,payment_value
f50e1a65,1,credit_card,10,392.55483353428053
6aa8b03f,1,credit_card,8,174.25531795974678
ddcabc46,1,credit_card,6,624.5370300419464
06e6cfea,1,credit_card,4,415.96125713762933
8b61a660,1,debit_card,10,505.2877576791003
dc6a043e,1,credit_card,11,200.12008157957018
048afc34,1,credit_card,9,582.2631956457459
d63c9669,1,voucher,10,96.65064947968712
7556672c,1,credit_card,2,445.6395550008487
695383c8,1,credit_card,6,442.8656662135996
e1827d76,1,boleto,1,343.3510447345073
59821fcc,1,credit_card,2,265.67786638434933
18a33b43,1,credit_card,1,355.2326172481539
32c8e55e,1,credit_card,3,336.2040796686954
2359ce5e,1,credit_card,8,368.8277149425319
8cf78fd6,1,credit_card,9,111.16596414019139
ba42299c,1,credit_card,1,113.00640265752423
61a3833b,1,credit_card,4,130.5272751825251
18890578,1,debit_card,10,182.92493764256162
7b369b2b,1,credit_card,7,351.5754273822837
c181c6da,1,credit_card,1,139.59366904340467
b6b6a686,1,credit_card,10,438.8632760197125
33680eb7,1,credit_card,10,423.51557701660937
6672575d,1,credit_card,10,212.82608574223332
742663e5,1,credit_card,7,358.2204267234912
9b56e087,1,credit_card,5,194.9326571797797
3f61583e,1,credit_card,2,125.95917666646329
c25b4502,1,credit_card,11,662.1788369817433
cce6bd69,1,boleto,8,466.2535060194186
ca8c202f,1,credit_card,9,277.97446060809676
2209c646,1,credit_card,1,1026.7812929381637
9c099ccd,1,credit_card,8,171.41407265244453
0ba049cb,1,debit_card,7,167.87151678827996
c1791551,1,credit_card,6,506.6873028593963
75843185,1,credit_card,10,477.33843139202037
d10e68c3,1,voucher,3,233.42898938182233
e0828aea,1,credit_card,7,835.8092430762314
5df4921c,1,credit_card,6,480.44915934793795
28699244,1,credit_card,5,57.0815285198087
d48eb311,1,credit_card,6,156.45150155987034
513ec267,1,credit_card,7,715.8291947184894
fcd5c321,1,credit_card,11,77.11216661973972
345efede,1,credit_card,1,552.8609502692032
7ef88430,1,credit_card,2,331.47649082238144
8f418582,1,voucher,4,344.5555743445467
d0bdcb94,1,credit_card,3,107.16525676391473
eaedb291,1,debit_card,2,345.115020028219
0dadb101,1,credit_card,1,308.9588300445093
a583b105,1,credit_card,9,363.53203399908296
8962abc7,1,credit_card,7,1210.9398367781585
dbb93357,1,debit_card,10,204.83505337363897
069a859d,1,credit_card,5,168.20769743590546
ca98f587,1,credit_card,6,277.6859466480233
29595742,1,credit_card,11,176.9612873483828
37acd485,1,credit_card,8,287.77860832874325
3a7b3505,1,credit_card,10,354.60946019647565
