review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
176122d7,f50e1a65,4,Review,,2026-05-16 19:05:07.400386,2026-05-16 19:05:07.400389
ea775170,6aa8b03f,4,Review,,2026-05-16 19:05:07.400406,2026-05-16 19:05:07.400406
7aa58a72,ddcabc46,4,Review,,2026-05-16 19:05:07.400420,2026-05-16 19:05:07.400420
082140c6,06e6cfea,5,Review,,2026-05-16 19:05:07.400433,2026-05-16 19:05:07.400433
491f211c,8b61a660,3,Review,,2026-05-16 19:05:07.400445,2026-05-16 19:05:07.400446
8335c5fb,dc6a043e,4,Review,,2026-05-16 19:05:07.400457,2026-05-16 19:05:07.400458
440c00f8,048afc34,3,Review,,2026-05-16 19:05:07.400469,2026-05-16 19:05:07.400469
47052245,d63c9669,3,Review,,2026-05-16 19:05:07.400480,2026-05-16 19:05:07.400481
cf9f4f5c,7556672c,5,Review,,2026-05-16 19:05:07.400492,2026-05-16 19:05:07.400492
e72934be,695383c8,5,Review,Arrived late.,2026-05-16 19:05:07.400524,2026-05-16 19:05:07.400525
d500220a,e1827d76,2,Review,Bad quality.,2026-05-16 19:05:07.400544,2026-05-16 19:05:07.400544
a0575ece,59821fcc,5,Review,,2026-05-16 19:05:07.400557,2026-05-16 19:05:07.400557
ba8bb5d7,18a33b43,5,Review,,2026-05-16 19:05:07.400568,2026-05-16 19:05:07.400568
0113bb4c,32c8e55e,2,Review,Okay product.,2026-05-16 19:05:07.400586,2026-05-16 19:05:07.400587
c0eaf7b0,2359ce5e,4,Review,,2026-05-16 19:05:07.400599,2026-05-16 19:05:07.400599
34ed3691,8cf78fd6,4,Review,,2026-05-16 19:05:07.400610,2026-05-16 19:05:07.400610
5c3adb6c,ba42299c,4,Review,,2026-05-16 19:05:07.400622,2026-05-16 19:05:07.400622
824f753b,61a3833b,5,Review,,2026-05-16 19:05:07.400633,2026-05-16 19:05:07.400634
