order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
f50e1a65,f68bd296,delivered,2018-08-07 16:00:00,2018-08-07 20:00:00,2018-08-08 16:00:00,2018-08-15 16:00:00,2018-08-17 16:00:00
6aa8b03f,eaf29bdd,delivered,2017-04-21 06:00:00,2017-04-21 07:00:00,2017-04-22 06:00:00,2017-05-01 06:00:00,2017-05-09 06:00:00
ddcabc46,76a30295,delivered,2017-02-16 17:00:00,2017-02-16 17:00:00,2017-02-17 17:00:00,2017-02-28 17:00:00,2017-03-03 17:00:00
06e6cfea,304aaeb7,delivered,2017-05-11 13:00:00,2017-05-11 17:00:00,2017-05-13 13:00:00,2017-05-17 13:00:00,2017-06-02 13:00:00
8b61a660,af9ca600,delivered,2018-03-10 05:00:00,2018-03-10 07:00:00,2018-03-11 05:00:00,2018-03-20 05:00:00,2018-03-28 05:00:00
dc6a043e,d8098233,delivered,2018-05-14 22:00:00,2018-05-15 02:00:00,2018-05-16 22:00:00,2018-05-24 22:00:00,2018-06-07 22:00:00
048afc34,41747533,delivered,2018-03-13 04:00:00,2018-03-13 04:00:00,2018-03-14 04:00:00,2018-03-18 04:00:00,2018-03-23 04:00:00
d63c9669,4a72387c,delivered,2017-05-13 06:00:00,2017-05-13 06:00:00,2017-05-14 06:00:00,2017-05-21 06:00:00,2017-05-23 06:00:00
7556672c,e8ddb1dc,delivered,2018-05-31 07:00:00,2018-05-31 09:00:00,2018-06-02 07:00:00,2018-06-07 07:00:00,2018-06-22 07:00:00
695383c8,a5e802a2,delivered,2017-01-05 20:00:00,2017-01-05 20:00:00,2017-01-07 20:00:00,2017-01-14 20:00:00,2017-01-21 20:00:00
e1827d76,39e8da6e,delivered,2018-07-29 18:00:00,2018-07-29 20:00:00,2018-07-30 18:00:00,2018-08-07 18:00:00,2018-08-21 18:00:00
59821fcc,41f5ae01,delivered,2018-07-22 08:00:00,2018-07-22 09:00:00,2018-07-23 08:00:00,2018-07-26 08:00:00,2018-08-10 08:00:00
18a33b43,9bc316a7,delivered,2018-03-17 05:00:00,2018-03-17 05:00:00,2018-03-19 05:00:00,2018-03-28 05:00:00,2018-04-01 05:00:00
32c8e55e,40a0af4b,delivered,2017-07-03 02:00:00,2017-07-03 02:00:00,2017-07-04 02:00:00,2017-07-13 02:00:00,2017-07-24 02:00:00
2359ce5e,9ee4cd1d,delivered,2018-07-07 11:00:00,2018-07-07 11:00:00,2018-07-08 11:00:00,2018-07-12 11:00:00,2018-07-20 11:00:00
8cf78fd6,6f858623,delivered,2017-05-19 03:00:00,2017-05-19 04:00:00,2017-05-21 03:00:00,2017-05-27 03:00:00,2017-06-10 03:00:00
ba42299c,66b82d27,delivered,2017-10-19 09:00:00,2017-10-19 13:00:00,2017-10-20 09:00:00,2017-10-30 09:00:00,2017-11-06 09:00:00
61a3833b,9f5fd793,delivered,2018-06-02 00:00:00,2018-06-02 00:00:00,2018-06-03 00:00:00,2018-06-05 00:00:00,2018-06-14 00:00:00
18890578,3d726055,delivered,2017-03-06 00:00:00,2017-03-06 03:00:00,2017-03-07 00:00:00,2017-03-09 00:00:00,2017-03-21 00:00:00
7b369b2b,4d6dc579,invoiced,2018-03-15 11:00:00,2018-03-15 12:00:00,2018-03-16 11:00:00,,2018-03-25 11:00:00
c181c6da,15e9ff1a,delivered,2018-01-10 19:00:00,2018-01-10 20:00:00,2018-01-12 19:00:00,2018-01-24 19:00:00,2018-01-20 19:00:00
b6b6a686,8a2ec47a,delivered,2017-10-30 01:00:00,2017-10-30 02:00:00,2017-10-31 01:00:00,2017-11-07 01:00:00,2017-11-14 01:00:00
33680eb7,32bb7484,delivered,2017-04-05 19:00:00,2017-04-05 19:00:00,2017-04-06 19:00:00,2017-04-13 19:00:00,2017-04-22 19:00:00
6672575d,05fb0a08,delivered,2018-08-10 23:00:00,2018-08-11 01:00:00,2018-08-12 23:00:00,2018-08-15 23:00:00,2018-08-21 23:00:00
