product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
0481a318,watches_gifts,50,395,9,3330,22,20,34
e08b6212,furniture_decor,39,419,7,588,18,28,42
c5ed13b4,telephony,26,671,1,7214,45,20,16
d108b3e1,computers_accessories,58,931,7,9639,31,22,21
0704e62f,watches_gifts,29,448,5,3273,35,10,25
7498b701,auto,57,939,6,1767,21,49,25
b4378c90,sports_leisure,34,878,7,9929,26,28,45
1cd11889,watches_gifts,31,972,5,4214,23,21,22
c3733ff1,telephony,22,328,7,3653,23,17,16
7b66be87,computers_accessories,28,369,9,7861,43,17,45
e91e0df6,furniture_decor,58,927,3,1100,29,21,18
8d1a49eb,telephony,45,897,8,9142,20,42,41
f8eb5b7f,telephony,21,390,2,1488,25,35,20
fdf27c4c,sports_leisure,50,824,7,5550,40,48,17
7f0881df,housewares,28,264,2,3812,15,37,42
fab635ac,computers_accessories,21,104,4,1467,28,14,32
0b5b7698,health_beauty,18,950,7,8289,46,17,34
e2d2b752,telephony,16,478,3,9113,13,34,17
4555ffbd,housewares,37,177,2,554,13,36,31
9244e8e2,health_beauty,23,509,7,9916,29,32,13
0b9e4648,computers_accessories,40,673,1,2872,19,39,49
74cee2e1,bed_bath_table,28,231,8,3826,33,32,12
2164f126,auto,56,700,3,7332,44,29,38
354b510a,housewares,25,848,2,4906,35,27,38
0b819c5a,garden_tools,14,141,3,2290,46,27,43
1ce90747,bed_bath_table,44,188,5,9208,47,11,43
4b3a0747,auto,21,501,8,2975,30,13,37
200524a6,sports_leisure,34,395,7,5692,49,39,22
8c7a1f1a,watches_gifts,30,939,7,1540,48,42,24
a30767f9,furniture_decor,45,394,7,9027,30,45,32
bcd1dd3b,garden_tools,32,715,8,6159,19,27,35
2c976d13,sports_leisure,25,625,1,7110,47,46,13
b064749a,computers_accessories,48,899,4,7217,13,28,35
8690917d,sports_leisure,54,790,6,9253,29,37,49
