seller_id,seller_zip_code_prefix,seller_city,seller_state
63b5cfb8,5138,sao paulo,SP
da9dd43e,92176,rio de janeiro,RJ
7ed1bfe7,76945,belo horizonte,MG
30eaa364,5017,curitiba,PR
dc8f6fd7,11451,porto alegre,RS
b40b18bf,63956,sao paulo,SP
110c0782,94863,rio de janeiro,RJ
ce20adb3,11278,belo horizonte,MG
894b8626,91480,curitiba,PR
3d8cbaaa,44764,porto alegre,RS
95784c07,2134,sao paulo,SP
15627973,63943,rio de janeiro,RJ
aa58e7b1,96667,belo horizonte,MG
62cdfa79,55318,curitiba,PR
16597aea,61128,porto alegre,RS
2b1a9a37,89056,sao paulo,SP
3b2bdf38,22869,rio de janeiro,RJ
45460435,6039,belo horizonte,MG
ea1be9b6,22281,curitiba,PR
3b78784c,11442,porto alegre,RS
97b111d7,74788,sao paulo,SP
f3ab5934,28586,rio de janeiro,RJ
1b864e2e,54053,belo horizonte,MG
a9b0059e,51489,curitiba,PR
fb7e1c47,84104,porto alegre,RS
5e6a3159,87346,sao paulo,SP
4e650515,68087,rio de janeiro,RJ
ac8fa3d8,13625,belo horizonte,MG
5e02fca9,35397,curitiba,PR
9ea3a409,59671,porto alegre,RS
586281b8,92785,sao paulo,SP
bf313c0e,67897,rio de janeiro,RJ
0cd9ed1f,27149,belo horizonte,MG
3a9e1e22,61030,curitiba,PR
9644a854,70906,porto alegre,RS
15bfe12f,6283,sao paulo,SP
07a21a6e,8610,rio de janeiro,RJ
249a652c,44326,belo horizonte,MG
bd830d4e,15924,curitiba,PR
99c13bee,77162,porto alegre,RS
08d65812,1869,sao paulo,SP
9bfa8093,98088,rio de janeiro,RJ
9b360271,2014,belo horizonte,MG
67491841,11103,curitiba,PR
33e748b3,83522,porto alegre,RS
66e13682,97007,sao paulo,SP
b4998c55,34458,rio de janeiro,RJ
c739947b,91605,belo horizonte,MG
2e90d858,83409,curitiba,PR
180aa0cd,24248,porto alegre,RS
